section_id,section_name,section_url
TH10_CD1_L1_S1,Bai01_Muc1,null
TH10_CD1_L1_S2,Bai01_Muc2,null
TH10_CD1_L1_S3,Bai01_Muc3,null
TH10_CD1_L2_S1,Bai02_Muc1,null
TH10_CD1_L2_S2,Bai02_Muc2,null
TH10_CD1_L3_S1,Bai03_Muc1,null
TH10_CD1_L3_S2,Bai03_Muc2,null
TH10_CD1_L4_S1,Bai04_Muc1,null
TH10_CD1_L4_S2,Bai04_Muc2,null
TH10_CD1_L5_S1,Bai05_Muc1,null
TH10_CD1_L5_S2,Bai05_Muc2,null
TH10_CD1_L6_S1,Bai06_Muc1,null
TH10_CD1_L6_S2,Bai06_Muc2,null
TH10_CD1_L7_S1,Bai07_Muc1,null
TH10_CD1_L7_S2,Bai07_Muc2,null
TH10_CD2_L8_S1,Bai08_Muc1,null
TH10_CD2_L8_S2,Bai08_Muc2,null
TH10_CD2_L8_S3,Bai08_Muc3,null
TH10_CD2_L8_S4,Bai08_Muc4,null
TH10_CD2_L9_S1,Bai09_Muc1,null
TH10_CD2_L9_S2,Bai09_Muc2,null
TH10_CD3_L11_S1,Bai11_Muc1,null
TH10_CD3_L11_S2,Bai11_Muc2,null
TH10_CD3_L11_S3,Bai11_Muc3,null
TH10_CD4_L12_S1,Bai12_Muc1,null
TH10_CD4_L12_S2,Bai12_Muc2,null
TH10_CD4_L12_S3,Bai12_Muc3,null
TH10_CD4_L13_S1,Bai13_Muc1,null
TH10_CD4_L13_S2,Bai13_Muc2,null
TH10_CD4_L13_S3,Bai13_Muc3,null
TH10_CD4_L14_S1,Bai14_Muc1,null
TH10_CD4_L14_S2,Bai14_Muc2,null
TH10_CD4_L14_S3,Bai14_Muc3,null
TH10_CD5_L16_S1,Bai16_Muc1,null
TH10_CD5_L16_S2,Bai16_Muc2,null
TH10_CD5_L16_S3,Bai16_Muc3,null
TH10_CD5_L17_S1,Bai17_Muc1,null
TH10_CD5_L17_S2,Bai17_Muc2,null
TH10_CD5_L17_S3,Bai17_Muc3,null
TH10_CD5_L18_S1,Bai18_Muc1,null
TH10_CD5_L18_S2,Bai18_Muc2,null
TH10_CD5_L19_S1,Bai19_Muc1,null
TH10_CD5_L19_S2,Bai19_Muc2,null
TH10_CD5_L20_S1,Bai20_Muc1,null
TH10_CD5_L20_S2,Bai20_Muc2,null
TH10_CD5_L21_S1,Bai21_Muc1,null
TH10_CD5_L21_S2,Bai21_Muc2,null
TH10_CD5_L22_S1,Bai22_Muc1,null
TH10_CD5_L22_S2,Bai22_Muc2,null
TH10_CD5_L22_S3,Bai22_Muc3,null
TH10_CD5_L23_S1,Bai23_Muc1,null
TH10_CD5_L23_S2,Bai23_Muc2,null
TH10_CD5_L24_S1,Bai24_Muc1,null
TH10_CD5_L24_S2,Bai24_Muc2,null
TH10_CD5_L25_S1,Bai25_Muc1,null
TH10_CD5_L25_S2,Bai25_Muc2,null
TH10_CD5_L26_S1,Bai26_Muc1,null
TH10_CD5_L26_S2,Bai26_Muc2,null
TH10_CD5_L27_S1,Bai27_Muc1,null
TH10_CD5_L27_S2,Bai27_Muc2,null
TH10_CD5_L28_S1,Bai28_Muc1,null
TH10_CD5_L28_S2,Bai28_Muc2,null
TH10_CD5_L29_S1,Bai29_Muc1,null
TH10_CD5_L29_S2,Bai29_Muc2,null
TH10_CD5_L30_S1,Bai30_Muc1,null
TH10_CD5_L30_S2,Bai30_Muc2,null
TH10_CD6_L33_S1,Bai33_Muc1,null
TH10_CD6_L33_S2,Bai33_Muc2,null
TH10_CD6_L33_S3,Bai33_Muc3,null
TH10_CD6_L34_S1,Bai34_Muc1,null
TH10_CD6_L34_S2,Bai34_Muc2,null
TH10_CD6_L34_S3,Bai34_Muc3,null
