task_id,task_name,task_url
TH10_CD2_P10_NV1,Nhiệm vụ 1 bài 10,NULL
TH10_CD2_P15_NV1,Nhiệm vụ 1 bài 15,NULL
TH10_CD2_P15_NV2,Nhiệm vụ 2 bài 15,NULL
TH10_CD2_P15_NV3,Nhiệm vụ 3 bài 15,NULL
TH10_CD2_P15_NV4,Nhiệm vụ 4 bài 15,NULL
TH10_CD2_P15_NV5,Nhiệm vụ 5 bài 15,NULL
TH10_CD2_P15_NV6,Nhiệm vụ 6 bài 15,NULL
TH10_CD2_P15_NV7,Nhiệm vụ 7 bài 15,NULL
TH10_CD6_P31_NV1,Nhiệm vụ 1 bài 31,NULL
TH10_CD6_P31_NV2,Nhiệm vụ 2 bài 31,NULL
TH10_CD6_P31_NV3,Nhiệm vụ 3 bài 31,NULL
TH10_CD6_P32_NV1,Nhiệm vụ 1 bài 32,NULL
TH10_CD6_P32_NV2,Nhiệm vụ 2 bài 32,NULL
TH10_CD6_P32_NV3,Nhiệm vụ 3 bài 32,NULL
