topic_id,topic_name,topic_url
TH10_CD1,Máy tính và xã hội số,Url chu de
TH10_CD2,Mạng máy tính và Internet,Url chu de
TH10_CD3,Đạo đức, pháp luật và văn hoá trong môi trường số,Url chu de
TH10_CD4,Ứng dụng Tin học,Url chu de
TH10_CD5,Giải quyết vấn đề với sự trợ giúp của máy tính,Url chu de
TH10_CD6,Hướng nghiệp với Tin học,Url chu de
TH11_CD1,Máy tính và xã hội tri thức,Url chu de lop 11 chu de 1
TH11_CD2,Lưu trữ, tìm kiếm và trao đổi thông tin,Url chu de lop 11 chu de 2
TH11_CD3,Đạo đức, pháp luật và văn hoá trong môi trường số,Url chu de lop 11 chu de 3
TH11_CD4,Cơ sở dữ liệu,Url chu de lop 11 chu de 4
TH11_CD5,Hướng nghiệp với Tin học,Url chu de lop 11 chu de 5
TH11_CD6,Thực hành cơ sở dữ liệu,Url chu de lop 11 chu de 6
TH11_CD7,Chỉnh sửa ảnh và video,Url chu de lop 11 chu de 7
